Video Id,Publish Date,Channel Id,Video Title,Video Description,Channel Title,Video Tags,Default Audio Language,Video Views,Video Likes,Favorite Count,Comment Count,Channel Country,Query,Caption Saved
dFB91YBhoYY,2019-06-06T23:16:27Z,UCl7giZXLlLIAEKV-TVoBW7Q,KAWASAN FALLS CEBU - Travelers Paradise \ Family Travel Vlog,"Kawasan Falls in Cebu, Philippines is a magical waterfall that you MUST visit!  Kawasan Falls canyoneering is what it is best know for and the crazy high cliff jumps.  We went with 3 kids so canyoneering was not possible but we did find a lot of other adventures.  We love traveling to exotic places and pushing our limits, especially the kids.  The color of the water was insane-everyone calls it gatorade water-yummy!  Check out the rope swings, jumps and rockslide it was a blast...

💥CHECK THIS OUT💥
Launching a brand new course on How To Become a Full-Time Content Creator!
Teaching everything we have learned over the last 4 years!  Sign up to learn more!
https://creatorsstudio.trynsomethingnew.com/fulltimecontentcreator

🔥SUPPORT🔥
💕Join the TryNsomethingnew Crew💕 Watch never before seen footage, behind the scenes, top secret content, swag giveaways and more!
https://www.patreon.com/TryNsomethingnew
If Patreon isn't your thing: https://www.paypal.com/biz/fund?id=UUSPS34VS7ZN4

▶ Check out my gear on Kit: https://kit.co/trynsomethingnew

 Our goal with our Travel Vlogs on youtube is to show other families that you can follow your heart, live your dreams and enjoy your family while you are all together. Have you been tryNsomethingnew? Let’s inspire each other and connect somewhere in the world.

Instagram https://www.instagram.com/tryNsomethingnew
Facebook https://www.facebook.com/tryNsomethingnew
Website  www.trynsomethingnew.com 
Email sandi@trynsomethingnew.com

Music licensed by Epidemic Sound",tryNsomethingnew,"['kawasan falls cebu', 'kawasan falls cebu 2019', 'kawasan falls cebu cliff jumping', 'kawasan falls cebu philippines', 'kawasan falls cebu vlog', 'kawasan falls', 'kawasan falls 2019', 'kawasan falls canyoneering', 'kawasan falls canyoneering 2019', 'kawasan falls philippines', 'kawasan cebu', 'kawasan waterfalls', 'family travel vlog', 'trynsomethingnew']",en,165260,7515,0,808,US,Trying Filipino Snacks,Yes
dGIZPdLOYQ8,2019-03-15T00:00:01Z,UCTPxMCyJyYGF6H0eBhOvgsA,Why Dutch kids MUST learn how to swim | Filipino vlogger in Netherlands,"#dutchculture #dutchkids #dutchswimming

Another typical thing the dutch people do is to send their kids to swimming lessons. Our oldest started his lessons last year and once our second one turns 5, he would need to take swimming lessons too.

To know about the Dutch swimming diplomas, click on this link below:
https://youtu.be/7fe3u5T9Rw0

Hope you enjoy this video and please don't forget to like, comment and subscribe to our channel for more interesting episodes of Pinay Mom's Blogs. Click on that bell button so you can get notified of our new posts every time! Thank you for watching and until next time!

Visit our blogging website: https://www.pinaymomsblogs.com

Subscribe to our channel:
https://www.youtube.com/c/pinaymomsblogs

Follow us on Facebook: https://www.facebook.com/pinaymomsblogs
Follow us on Instagram: https://www.instagram.com/pinaymomsblogs/
Follow us on Pinterest: https://nl.pinterest.com/pinaymomsblogs/_created/

— 
Hello YouTube viewers! I’m a Filipina from Manila, Philippines. I used to live in Los Angeles and then met my Dutch husband there, got married and moved to the Netherlands. We both love to travel! We are blessed to have 2 beautiful boys to share our journeys together. I feel very grateful. Here’s sharing some of our day-to-day activities, family vacations, staycations and weekend getaways with you all!",Pinay mom's blogs,"['filipino dutch kids learn how to swim', 'how to learn how to swim', 'dutch kids swimming', 'noorderparkbad', ""pinay mom's blogs"", 'pinay blogger', 'kids learning to swim', 'filipino mommy vlogger', 'pinay mom', ""pinay mom's blog"", 'pinoy channel', 'learn how to swim']",en,784,13,0,0,NL,Visit Filipino,Yes
E1b2T_ar1tU,2023-10-18T10:40:25Z,UCoWQLZoPwn3mJ-oiPrwDpbA,Foreigners first impressions of DUBAI 🇦🇪 (street interviews) their answers will surprise you,"Want to learn how traveling, exploring new cultures and creating lifelong memories SAVES me $24,940 per year? Join my free community and get access to free training videos here - https://www.skool.com/living-abroad-club-5366",Living abroad,"['dubai', 'uae', 'united arab emirates', 'first time', 'first impressions dubai', 'first impresssions of dubai', 'dubai first time', 'must visit dubai', 'must do dubai', 'dubai tourist attractions', 'foreigners in dubai', 'filipinos in dubai', 'filipino dubai', 'pinoy in dubai', 'working in dubai', 'how to get a job in dubai', 'filipino abroad', 'ofw', 'filipinos abroad', 'living abroad', 'life in dubai', 'is dubai expensive', 'luxury dubai', 'expensive', 'cars', 'burj khalifa', 'eye of dubai', 'souq', 'old dubai', 'dubai now', 'vlog']",en,851,64,0,36,CA,Foreigner impressions of the Philippines,Yes
coayhixmBBk,2023-09-25T06:07:52Z,UCatYGXWCXRt_0XLLKv1hkUw,"🇵🇭 Tiaong, Quezon day tour from Manila, Philippines (Villa Escudero)","👉🏼 Book THIS 🇵🇭 day tour:
https://guidetothephilippines.ph/trips-and-experiences/quezon-tours/quezon-villa-escudero-day-tour-carabao-drawn-cart-buffet-lunch-transfers?a=102175

🤔 OR other 🇵🇭 tours from Great Sights Travel and Tours:
https://guidetothephilippines.ph/establishments/tour-operator-tours-holidays/great-sights-travel-and-tours/67?a=102175

After spending the past few days hanging out with her best friends in BGC, we’re taking a little day trip well outside of Manila, complements of our new favorite website for Philippines travel and adventure. We’ve left this little day of adventure completely in their capable hands, so the four of us are excited to see what they have in store for us over the next 11 hours. Let’s get started. 

Contents:

0:00 Intro
0:29 Driving from our BGC condo to Quezon
2:43 Arriving at Villa Escudero
5:37 Lunch at Labasin Waterfalls Restaurant
10:33 Exploring the grounds
15:03 The Philippine Experience Show
17:41 Conclusion

Check out our curated collection of products and services that support our life of travel and adventure: https://followabc.com/stuffwelove

Learn more about how we stay in multi-million dollar homes around the world for a low, flat monthly subscription and no nightly rates, taxes, or hidden fees. https://followabc.com/pass

To learn about how our kids are also receiving a world-class, formal, private education while we travel the world, go to: followabc.com/school

Check out our favorite credit cards for travel benefits: https://followabc.com/creditcards

Here's the equipment we use for vlogging: https://followabc.com/gear

Retrace our steps around the world! Find a growing collection of the lodging, food, and activities featured in our episodes by accessing our interactive map: https://followabc.com/retrace-our-steps

Find and use the music tracks we feature in our episodes: https://share.epidemicsound.com/n1fh98

Join our Inner Circle email list to get immediate notifications of new episodes, behind-the-scenes content, giveaways, and news: https://followabc.com/join

We’re passionate about our lifestyle of luxury family travel, remote business ownership, unschooling, and contributing positively to the future of the world. If you’re a like-minded brand or content creator and would like to explore sponsorships, collabs, or other ideas, please get in touch at https://followabc.com/inquiries

If you want to send us products for review, please reach out via https://followabc.com/inquire and we'll provide our mailing address.

Follow us on other platforms:
https://instagram.com/alwaysbechanging
https://facebook.com/alwaysbechanging
https://www.tiktok.com/@alwaysbechanging

Some of the links provided in our episodes and on our website utilize merchant affiliate programs that may pay commissions to us whenever people use them to make purchases.

ABOUT US

We’re the Lockwoods. And we’re traveling the world to experience—up close and in person—all the natural wonders and distinct cultures that our kids would otherwise be consuming only through textbooks and TV. We think it’s a better way to learn and we’re working hard to fund this little experiment in the hope that our kids will grow up wiser, kinder, and more grateful for the beauty of our diverse planet and its people.",Always Be Changing,"['philippines', 'philippines travel', 'philippines travel vlog', 'philippines vlog', 'the philippines', 'philippines travel guide', 'travel philippines', 'philippines vlogger', 'manila philippines', 'travel vlog', 'manila', 'philippines 4k', 'family travel', 'things to do', 'quezon', 'quezon province', 'quezon city', 'villa escudero', 'villa escudero day tour family', 'villa escudero tiaong quezon', 'villa escudero 2023', 'travel vlogger', 'villa escudero pinoy vlog', 'villa escudero day tour', 'travel guide villa escudero']",en,111246,5088,0,491,US,Foreigner living in the Philippines,Yes
5LW1VDVgr6k,2023-01-20T01:30:02Z,UCBQjTfMEcxMlI49KCQAHwYQ,The Ultimate 24h in BOHOL (Philippines) 🇵🇭,"Skip the waitlist and invest in blue-chip art for the very first time by signing up for Masterworks: https://masterworks.art/2passports1dream Purchase shares in great masterpieces from artists like Pablo Picasso, Banksy, Andy Warhol, and more. 🎨

After a beautiful day cruising along on a private boat in Bohol, the Philippines… Being greeted by dolphins early in the morning, snorkelling, island hopping, and seeing beautiful sights, it's time to explore Bohol by land! We take our trusted bike on the trip of a lifetime, which starts with the Loboc river cruise, where we enjoy some amazing food, all-around good vibes, and SUNSHINE! The day is far from over as we pack adventure after adventure, zip-lining at the Loboc Ecotourism Adventure Park, we see some beautiful fluffy little creatures called Tarsiers and finish with a mind-blowing view over the Chocolate Hills of Bohol, The Philippines! This truly was the best day we’ve had so far… we will remember this day forever! 

📍Hotel in Panglao: https://www.agoda.com/partners/partnersearch.aspx?pcs=1&cid=1897568&hid=34124253
📍Loboc River Cruise: https://maps.app.goo.gl/pLC6K1X7h4tmyWgWA?g_st=ic
📍Zipline: https://maps.app.goo.gl/1knVEuKqvBZFk6iKA?g_st=ic
📍Tarziers: https://maps.app.goo.gl/UMHMqZkD4TAV4pXL9?g_st=ic
📍Chocolate Hills: https://maps.app.goo.gl/SwFqFgxN9Lrbryds5?g_st=ic

BUSINESS ENQUIRIES: business@2passports1dream.com

WHAT WE USE:
◆VPN: https://nordvpn.com/2passports
◆Insurance: https://bit.ly/3wSyH1E
◆Currency card: https://bit.ly/3rkwBn

SUPPORT US:
☕Buy us a coffee: https://www.buymeacoffee.com/2p1d 
💰Donate directly: https://paypal.me/2p1d

SOCIAL MEDIA:
◆Instagram: www.instagram.com/2passports1dream
◆TikTok: www.tiktok.com/@2passports1dream
◆Facebook: www.facebook.com/2passports1dream
◆Twitter: www.twitter.com/2passports1
◆Website: www.2passports1dream.com

#Travel #Bohol #ThePhilippines #ad 

*net annualized returns, net of fees and expenses, assumes all money was invested at the close of the offering, and profits were distributed pro rata to investors the date the painting was sold. See important Reg A disclosures: Masterworks.com/cd

This video and information about Masterworks are not targeted to residents of any particular country or jurisdiction. Investing involves risk and the value of investments can go up as well as down. Before investing you should review the of ering circular for the particular of ering you are considering, including the section entitled ""Risk Factors"". Masterworks and its agents are not registered to of er investment services in any non-U.S. jurisdiction and the of erings have not been registered, reviewed, or approved by any regulatory authority in any non-U.S. jurisdiction. Accordingly, non-U.S. residents must take reasonable steps to confirm that their participation in a Masterworks of ering does not violate the laws of the jurisdiction in which they reside.",2Passports 1Dream,"['philippines', 'the philippines', 'philippines vlog', 'travel vlog philippines', 'philippines travel', 'travel vlogs', 'the philippines travel', 'philippines news today', 'philippines documentary', 'philippines vloggers', 'philippines vlogs', 'travel philippines', '2passports1dream', 'philippines 2023', 'philippines travel vlog', 'panglao island', 'panglao', 'bohol', 'bohol philippines', 'paradise island', 'bohol vlog', 'bohol tourist spots', 'bohol island', 'bohol island philippines', 'loboc', 'tarsiers']",en-GB,92263,6118,0,964,GB,"Foreigner impressions of the Philippines,Foreigner tries Filipino food",Yes
MjL05yopUzw,2022-12-30T02:49:31Z,UCM_LbQqMyM08jynil9vYEGg,IS BOHOL PHILIPPINES WORTH to VISIT? First time at CHOCOLATE HILLS in BOHOL (We saw TARSIERS!),"After a mostly relaxing day in Alona Beach, It is time for us to explore the rest of the island of BOHOL, PHILIPPINES in one day to witness the STUNNING CHOCOLATE HILLS, tarsiers sanctuary to see the tarsiers, which are the world’s smallest primates, butterflies, and much more!

Besides the Chocolate Hills, we were not sure what to do in Bohol, so we were glad to have someone show us around. While our day started out on a bit of a low note due to issues at the Loboc River Cruise, we were able to quickly turn things around and see tarsiers for the first time at a conservation area. 

The main attraction of Bohol is definitely the Chocolate Hills though and we were glad to link up with the amazing Mark Jun at Graham ATV who helped us through the Chocolate Hills by ATV and buggy. Being able to climb to the top of one of the Chocolate Hills and appreciate the INSANE view of Bohol is something neither of us will forget for a very long time.

We wrapped things up on our busy One Day in Bohol with a stop at the Bohol Man Made Forest, a very popular Instagram spot… although a bit of a dangerous one if you’re not paying attention! We learned a bit about its history as well and were glad to take in Bohol’s best tourist spots before heading back to Alona Beach.

#bohol 
#chocolatehills 
#philippines

---------------------------------------------------------------------------------------------------------------------
Join Our Team: https://www.patreon.com/travelinteresante

Buy Us a Coffee: https://www.buymeacoffee.com/gokceandsteve

Our Favorite VPN to keep your data private or see Netflix from a different country:
https://get.surfshark.net/aff_c?offer_id=6&aff_id=5063

Our Favorite YouTube Analytics and Keyword Search Tool (Free Chrome extension): https://www.tubebuddy.com/travelinteresante

The BEST source for copyright free YouTube music (1 month free trial): https://www.epidemicsound.com/referral/jrj90w/ 
---------------------------------------------------------------------------------------------------------------------
For a full list of our Camera Equipment and Travel Gear: https://kit.co/travelinteresante/our-travel-and-video-gear 

Basic Equipment:

Our Camera: https://amzn.to/2WHU3N7 
Main Video Lens: https://amzn.to/39lghHA 
Our GoPro/Action Camera: https://amzn.to/3cdDa22 
Our Drone: https://amzn.to/2PoE6XB 

Our Carry-on Suitcase: https://amzn.to/2PHfQAv 
Gokce’s Camera Backpack: https://amzn.to/2vl797H
---------------------------------------------------------------------------------------------------------------------
You can also follow us on Instagram and Facebook:

https://www.instagram.com/travelinteresante 

https://www.facebook.com/travelinteresante
-------------------------------------------------------------------------------------------------------------------
Hi, we are Gökçe and Steve, a married Turkish and American full time travel couple. We left behind our New York City office jobs and our home to experience the world and all its wonderful cultures.

We also want to teach you how you too can turn the money you spend every single day into FREE or CHEAP TRAVEL, just like we do, through using credit card points here on this channel!

We hope to inspire you to chase your own dreams and we thank you for subscribing to our channel to follow us along on our journey!",Travel Interesante - Gökçe & Steve,"['bohol filipinas', 'chocolate hills bohol philippines', 'bohol chocolate hills and tarsier tour', 'chocolate hills bohol', 'bohol chocolate hills', 'chocolate hills philippines', 'chocolate hills', 'tarsier bohol', 'tarsier in bohol', 'tarsier philippines', 'one day in bohol', 'philippines travel', 'chocolate hills atv', 'first impressions of bohol', 'bohol philippines drone', 'bohol', 'what to see in bohol', 'things to do in bohol', 'bohol tourist spots', 'bohol philippines', 'bohol travel', 'bohol vlog', 'Philippines']",en,6013,298,0,51,US,"First time Philippines,Visit Philippines",Yes
j1knOWYwnMM,2021-12-02T12:00:19Z,UCguRKiLcbY9yIG9fxmd9BuQ,FIRST IMPRESSIONS OF JORDAN - IS AMMAN SAFE TO VISIT? // JORDAN TRAVEL VLOG,"Today we are exploring Amman, the capital city of Jordan! Our first impression is that it is a city filled with welcoming and vibrant people who are excited to share their beautiful country with visitors. If you are wondering what Jordan is like, what there is to do in Amman, or if Jordan is safe to visit as a foreigner, then you have come to the right travel vlog. We loved just strolling down the streets today to begin to get a feel for the country. There are also some awesome sites to visit in Amman including the Citadel, amphitheater, and Rainbow Street, but really you should visit Jordan just to meet the people. We have only just begun our travel in this country and can already tell we are going to love it here!

Thanks for watching our travel vlog! | Filmed November, 2021

== Connect with us! ==
♥ Instagram: @nicoleandmico_
♥ Website: www.nicoleandmico.com
♥ Email: info@nicoleandmico.com

✈️ BEST travel insurance during Covid-19 ✈️
Looking for travel insurance? We use SafetyWing and recommend them to all our friends! They are really affordable, include COVID-19 coverage, and are the most flexible insurance provider we have ever had. If you use our referral link to purchase insurance through them we will get a small commission at no additional cost to you. If you click the link, thank you so much! https://tinyurl.com/2p87ewbr

📽️ BEST way to learn to make travel vlogs (and so much else) 📽️
Join Skillshare with 40% off using coupon code ""aff40dtp""
https://skillshare.eqcm.net/jW5GP6

🎵 BEST music for travel vlogs 🎵
The music in this video is from Epidemic Sound (we think you'll agree it’s awesome). Start your 30 day free trial here - https://www.epidemicsound.com/referral/sbpbqw/

🎨 BEST way to make thumbnails 🎨
Our thumbnails are made using Canva - https://www.canva.com/join/wgt-kkj-plp

🕵🏽 BEST VPN for travel 🕵🏽
Keep your data and identity safe but, more importantly, always have access to your Netflix
https://get.surfshark.net/aff_c?offer_id=6&aff_id=11948

☕ Support Us ☕
If you enjoy our content and want to help us continue creating, we would be so grateful if you head over to https://www.buymeacoffee.com/nicoleandmico to buy us a coffee! You can always give this video a thumbs up too - we appreciate any support you can offer!

== Chapters ==
0:00 Preview 
0:26 Welcome to Philadelphia 
1:08 First Impressions of Amman
1:44 The Citadel
3:18 Hercules Temple
5:20 Warm welcomes to Jordan
7:28 Ancient amphitheater or community park?
11:40 Bloopers

== Connect with us! ==
♥ Instagram: @nicoleandmico_
♥ Website: www.nicoleandmico.com
♥ Email: info@nicoleandmico.com

 #visitjordan #amman #travelvlog #travel2021 #canadiancouple  

======================

Hey there! We are Nicole and Mico, full-time travel vloggers searching for adventures all around the globe. In March 2021 we quit our jobs, sold our belongings, and hopped on our first ever one-way flight leaving our home country #Canada. We believe #travel builds understanding that reaches across culture, language, and boundaries, and we want to share our experiences as we create connections all over the world. If you like learning about unique places, new cultures and different foods, then come follow our adventure as we explore all our beautiful planet has to offer.",Nicole and Mico,"['canadian couple international travel', 'canadian international travel', 'canadian travel vlogger couple', 'filipino canadian travel', 'full time travel vloggers', 'nicole and mico', 'travel bucketlist', 'travel couple videos', 'is jordan safe for travel', 'is amman safe to visit', 'is jordan safe to visit', 'is jordan safe country', 'what is jordan like', 'amman vlog', 'amman jordan city', 'what to do in amman jordan', 'what to do in jordan', 'jordan vlog', 'first impressions of jordan', 'amman jordan vlog']",en-CA,3519,115,0,29,CA,"Foreigner impressions of the Philippines,Foreigner impressions of the Philippines",Yes
_qZsmW5IW20,2023-06-13T10:00:48Z,UCHHsLgcp82jsTUdULULDjbA,You need to do this in the PHILIPPINES 🇵🇭 Castaway on tropical island in EL NIDO Philippines,"You need to do this in the Philippines. We got castaway on a beautiful tropical island here in El Nido Palawan. One of the Philippines most popular islands. We were kindly invited to spend a few nights on the remote island of Darocotan Island with The Isla Experience. This was an experience like no other and its one we would highly recommend for your trip to the Philippines. In this video we live exactly like the locals. We stayed in a massive bamboo hut sitting right on the ocean. But Island life does not come without its sacrifices, for example, no AC, no wifi, communal toilets and showers, insects for room mates lol, and a few more. BUT its important to note that all this IS THE EXPERIENCE. We really enjoyed our stay on this remote island in El Nido. It forced us to take a break and disconnect from the world. Something we later came to appreciate. This is definitely one of the top things to do in the Philippines so if you would like to add the Isla experience to your Philippines itinerary you can find out more by checking out their website 

  🟥 https://www.islaexperience.com/

🚨Watch all our videos and please Subscribe to GoTimeTravels 
https://www.youtube.com/c/GoTimeTravels

➡️ THIS IS WHY YOU VISIT THE PHILIPPINES 
https://youtu.be/nivYSwmGz2o

➡️ OUR FIRST DAY IN THE PHILIPPINES
https://youtu.be/cFWKWEGIiOc


⭐ Say Hello on Social Media
 📸 Follow us on Instagram for behind the scenes content! @gotimetravels https://www.instagram.com/gotimetravels/

⏰ TikTok: https://www.tiktok.com/@gotimetravels?_t=8VA0G3oV30n&_r=1

📘 Facebook: https://www.facebook.com/GoTimeTravelmedia

SUPPORT 🥰
☕️ Buy me a coffee: https://www.buymeacoffee.com/Gotimetravels
👍🏽 Or simply Like, Comment, Share our videos and Subscribe
(it's your support that allows us to continue creating quality content for this channel, thank you so much in advance ❤️)

SHOP 🛍 
🎥 OUR CAMERA GEAR:https://www.amazon.co.uk/shop/gotimetravels
🎒BACKPACKING GEAR:https://www.amazon.co.uk/shop/gotimetravels 

DISCLAIMER: 
Links included in this description may be affiliate links. If you purchase a product or service with the links that we provide we may receive a small commission. There is no additional charge to you! 
All Products listed above are used in the making of our videos and are used while we travel. 

📥  Business Enquiries please email
gotimetravelmedia@gmail.com

#philippines #elnido #travelvlog
00:00 Introduction
01:30 Our Bamboo Hut
04:50 Tour of the Island
07:40 Island Pigs?
10:12 Snorkelling in a storm
13:21 Mornings on the Island
14:47 Shower Test
15:33 Spider Check
17:08 The Local Village
21:02 Learning a Filipino Dance
22:05 Why We needed this break
23:22 Outro",GoTime Travels,"['you need to do this in the philippines', 'philippines travel vlog 2023', 'el nido palawan philippines', 'philippines island', 'el nido', 'places to visit in philippines 2023', 'travel philippines', 'must do philippines', 'things to do in the philippines', 'philippines travel guide', 'how to travel the philippines', 'best things to do in el nido', 'el nido top attraction', 'uniqe stay philippines', 'isla experience el nido', 'gotime travels', 'best place to travel', 'irish in philippines', 'palawan', 'cebu', 'manila']",en-GB,17309,1322,0,107,IE,Foreigner impressions of the Philippines,Yes
A2_vSVmLeQs,2023-04-12T09:03:28Z,UC82Q2jylxM5jMmnK4SEb8pA,"You HAVE to try this! 🇵🇭 Canyoneering and Cliff Jumping in Cebu, Philippines","Join us as we go canyoneering and cliff jumping in Cebu, Philippines! We travel from Manila to Moal Boal and take a day tour canyoneering Kawasan Falls. It was quite the adventure!

한글, 영어 자막이 필요하신 분들은 유튜브 CC 버튼을 눌러서 자막을 이용할 수 있습니다.

Hi! We're Sarah and Seunghyun, an international couple from the United States and South Korea. We're on a mission to travel to 23 countries by the end of 2023. Today, we continue our journey in country #6, the Philippines 🇵🇭

Through YouTube, we document our journey every step of the way. We're excited and thankful to share our experiences, challenges, lessons, and adventures with you. Thank you for joining our travels! 💕

안녕하세요, 세라와 승현입니다. 저희는 미국, 한국에서 온 국제커플입니다. 저희는 2023년까지 23개국 방문을 목표로 하고 있습니다. 유튜브를 통해 저희의 여정을 구독자와 함께 나누고 싶어 영상을 만들게 되었습니다. 저희 여행 재밌게 봐주세요. ^^

❤️ Instagram: @sarah.seunghyun

✉️ Email for inquiries: sarah.seunghyun@gmail.com

🎧 Music from Epidemic Sound 
https://share.epidemicsound.com/xs9c46 
––––––––––––––––––––––––––––––
Roy Edwin Williams / Battle of the Guitars
Sum Wave / Sipping on Martinis
Martin Klem / Trampoline Park Avenue
Matt Large / Knowledge is Power
––––––––––––––––––––––––––––––
Sweet Garden by Couple N https://soundcloud.com/couple-n-music
Creative Commons — Attribution 3.0 Unported  — CC BY 3.0 
Free Download / Stream: https://bit.ly/3JCGLZj
Music promoted by Audio Library   
￼
 • Sweet Garden – Co...  
––––––––––––––––––––––––––––––
EPISODE 34 - Moal Boal, Philippines
FILMED EARLY 2023
COUNTRY #6 of 23

DISCLAIMER: Links included in this description might be affiliate links. If you purchase something with the links, we may receive a small commission. There is no additional charge to you! Thank you for supporting us so that we can continue to provide you with content!

Timestamps and Titles:",Two Between | Sarah and Seunghyun,"['travel philippines', 'travel cebu', 'kawasan falls', 'philippines canyoneering', 'moalboal canyoneering', 'philippines travel vlog', 'cebu travel vlog 2023', 'what to do in cebu', 'things to do in cebu', 'cliff jumping philippines', 'moal boal', 'cebu', 'philippines', 'cebu travel 2023', 'cebu city', 'moal boal canyoneering', 'canyoneering philippines', 'canyoneering cebu', 'things to do in philippines', 'philippines waterfalls', 'canyoneering', 'cebu waterfalls', 'cliff jumping', 'best waterfalls philippines', 'manila']",en,13337,654,0,55,US,Trying Philippines,Yes
LEF7IUO1crU,2017-01-13T07:00:00Z,UCEOsP00dFUPSkLzEf12H3cA,Philippines: Socorro Beach Resort Inquiry - Thai Boran - School Visit,"Actually we planned to rest a little today and just spend the day at the resort and the pool but it turned out to be quite busy after all. We got invited to visit a class at the Elementary School in Maslog, which is not far from Danao, in the afternoon. 
More of the Philippines ► https://bit.ly/2HF4YOn

-----------------------------------------------------------------------------------------------------------------------

► Subscribe to our channel - http://www.youtube.com/user/travellertobi?sub_confirmation=1

► Our Travel & Vlogging Gear - https://kit.co/TATravelVlogs
► Travel Guide Philippines - https://amzn.to/46RgnWh

Gear we use to create our videos:
► Main Camera US - https://amzn.to/3OfOe3Z
► Main Camera EU - https://amzn.to/37KxclQ
► Backup Camera - https://amzn.to/39Q46Dk
► Action Camera - https://amzn.to/3x804Uz
► Lens for B-Roll - https://amzn.to/2vRQEQI
► Wide Angle Lens - https://amzn.to/2vL16tc
► Zoom Lense - https://amzn.to/3jDIQLH
► Gimbal - https://amzn.to/46PHEZd
► Drone - https://amzn.to/39TlSpf
► Tripod - https://amzn.to/2SGKlby
► Camera Backpack - https://amzn.to/3WwIDbf
► Editing Laptop - https://amzn.to/3NoD9fi & https://amzn.to/46ulCew

-------------------------------------------------------------------------------------------------------------
Music:
Bensound - Energy - https://youtu.be/6mXfH90dDB0
http://www.bensound.com/royalty-free-...
Creative Commons — Attribution 3.0 Unported— CC BY 3.0 https://creativecommons.org/licenses/...
-------------------------------------------------------------------------------------------------------------

Disclaimer: All opinions are my own. Some links in the description are affiliate links that if you click on one of the product links, I’ll receive a commission at no additional cost to you.  As an Amazon Associate I earn a small commission from qualifying purchases.",T&A Travel Vlogs,"['Philippines', 'Philippinen', 'Danao', 'Danao City', 'Sabang', 'Maslog', 'School', 'Elementary', 'Elementary School', 'Socorro Beach Resort Inquiry Thai Boran School Visit', 'Socorro Beach Resort', 'Socorro', 'Thai Boran', 'Massage', 'Thai Massage', 'Pinoy', 'Cebu', 'Visayas', 'Urlaub', 'Vacation', 'Asien', 'Asia', 'Travel', 'Reisen', 'Vlog', 'Travel Vlog', 'Southeast Asia', 'Südost Asien', '2016', 'Backpacking', 'Mall', 'Streetfood', 'Street Food', 'Filipino', 'Filipino Street Food', 'Filipino Streetfood']",en,921,8,0,0,DE,Visit Philippines,Yes
